id,batch_id,account_code,account_name,property_number,classification_name,item_description,brand,model,serial_no,qty_physical_count,qty_property_card,unit_cost,line_total,acquisition_date,office_name
19102,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0001-067,Aircon,"Everest; 5 tonner inverter; floor mounted SN: 340719813098C210160018",Everest,,340719813098C210160018,1,1,137436.00,137436.00,2025-01-01,"Sentro ng Wika at Kultura"
19103,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0136-000,Aircon,"5 tonner, floor mounted; Everest; SN: 2401248060163190160010",Everest,2401248060163190160010,2401248060163190160010,1,1,191000.00,191000.00,2025-01-01,
19104,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0137-000,"LED SCREEN WITH CABINET (ABRAM)","2.5M x 2M P 3.91 Indoor Full Color Led Screen: Module Specification; Pixel Pitch 3.91mm. Pixel Configuration: SMD2121; Module Resolution:64x64pixels; Scan Mode: 1/16 scan, Module Size: (WxH); 5pcs x 4pcs., Pixels Resolution (WxH): 896dotsx640dots, Brightness:?800cd/m2, Refresh Rates?384HZ, Viewing Angle: H: 140v: 120 Input Voltage: 200-240V, Max, Power Consumption: 600W/m2, Avg. Power Consumption: 200W/m@. IP Grade: IP43, Cabinet Material: die-casting aluminum. Includes: 1 unit video processors, 1 lot power cables, circuit breaker for LED Screen main supply, 1 lot customized rack with 5KVA AVR for power supply, 1 lot fabricated wall bracket for LED screen, 1 lot communication/signal cable, 1 lot additional fabricated mobile stand to combine the exixting LED screen for outdoor use",,,,1,1,810204.00,810204.00,,
19105,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0015-032,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02038","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02038,1,1,50010.00,50010.00,,"College of Engineering and Architecture"
19106,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0016-032,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02028","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02028,1,1,50010.00,50010.00,,"College of Engineering and Architecture"
19107,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0017-032,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02036","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02036,1,1,50010.00,50010.00,,"College of Engineering and Architecture"
19108,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0018-032,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00907","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00907,1,1,50010.00,50010.00,,"College of Engineering and Architecture"
19109,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0019-032,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00952","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00952,1,1,50010.00,50010.00,,"College of Engineering and Architecture"
19110,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0020-032,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00476","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00476,1,1,50010.00,50010.00,,"College of Engineering and Architecture"
19111,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0021-032,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00485","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00485,1,1,50010.00,50010.00,,"College of Engineering and Architecture"
19112,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0022-032,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00936","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00936,1,1,50010.00,50010.00,,"College of Engineering and Architecture"
19113,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0023-032,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02189","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02189,1,1,50010.00,50010.00,,"College of Engineering and Architecture"
19114,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0024-032,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209160B02195","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209160B02195,1,1,50010.00,50010.00,,"College of Engineering and Architecture"
19115,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0025-032,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00905","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00905,1,1,50010.00,50010.00,,"College of Engineering and Architecture"
19116,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0026-032,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00144","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00144,1,1,50010.00,50010.00,,"College of Engineering and Architecture"
19117,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0027-032,"LED TV","55 inch, 4K Smart Google TV- TCL Model: 55P635; SN: 2401ALY209179C00662","55 inch, 4K Smart Google TV- TCL Model: 55P635",55P635,2401ALY209179C00662,1,1,50010.00,50010.00,,"College of Engineering and Architecture"
